condition,clicked,framing_gain,framing_loss,framing_neutral,urgency_noturgent,urgency_urgent
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
